Summary
Generated on:;2025/09/08 - 14:06:11
Parser:;Cobertura
Assemblies:;1
Classes:;26
Files:;25
Line coverage:;47.3%
Covered lines:;490
Uncovered lines:;545
Coverable lines:;1035
Total lines:;1757

server;47.3%

server.Controllers.AuthController;87.8%
server.DTOs.ForgotPasswordDTO;100.0%
server.DTOs.Jwt;0.0%
server.DTOs.LoginDTO;100.0%
server.DTOs.LogoutDTO;100.0%
server.DTOs.MailDataReqDTO;100.0%
server.DTOs.MailSettingsDTO;0.0%
server.DTOs.RefreshDTO;100.0%
server.DTOs.RegisterDTO;100.0%
server.DTOs.ResetPasswordDTO;100.0%
server.DTOs.UserDto;0.0%
server.DTOs.VerifyUserDTO;100.0%
server.Middleware.TokenValidationMiddleware;100.0%
server.Models.BlacklistedToken;100.0%
server.Models.RefreshToken;100.0%
server.Models.User;100.0%
server.Models.UserCodeVerify;75.0%
server.Program;0.0%
server.Services.AuthService;32.9%
server.Services.BlacklistCleanupService;73.9%
server.Services.BlacklistService;73.2%
server.Services.MailService;0.0%
server.Services.SupabaseService;16.1%
server.Services.TokenService;32.9%
server.Utilities.CommonUtils;25.0%
server.Utilities.MessageProvider;0.0%
